AD,OSO Sekuritas Indonesia
AF,Harita Kencana Sekuritas
AG,Kiwoom Sekuritas Indonesia
AH,Shinhan Sekuritas Indonesia
AI,UOB Kay Hian Sekuritas
AK,UBS Sekuritas Indonesia
AN,Wanteg Sekuritas
AO,Erdikha Elit Sekuritas
AP,Pacific Sekuritas Indonesia
AR,Binaartha Sekuritas
AT,Phintraco Sekuritas
AZ,Sucor Sekuritas
BF,Inti Fikasa Sekuritas
BK,J.P. Morgan Sekuritas Indonesia
BQ,Korea Investment and Sekuritas Indonesia
BR,Trust Sekuritas
BS,Equity Sekuritas Indonesia
BZ,Batavia Prosperindo Sekuritas
CC,Mandiri Sekuritas
CD,Mega Capital Sekuritas
CG,Citigroup Sekuritas Indonesia
CP,Valbury Sekuritas Indonesia
CS,Credit Suisse Sekuritas Indonesia
DB,Deutsche Sekuritas Indonesia
DD,Makindo Sekuritas
DH,Sinarmas Sekuritas
DM,Masindo Artha Sekuritas
DP,DBS Vickers Sekuritas Indonesia
DR,RHB Sekuritas Indonesia
DX,Bahana Sekuritas
EL,Evergreen Sekuritas Indonesia
EP,MNC Sekuritas
ES,Ekokapital Sekuritas
FG,Nomura Sekuritas Indonesia
FM,Onix Sekuritas
FO,Forte Global Sekuritas
FS,Yuanta Sekuritas Indonesia
FZ,Waterfront Sekuritas Indonesia
GA,BNC Sekuritas Indonesia
GI,Mahastra Andalan Sekuritas
GR,Panin Sekuritas Tbk.
GW,HSBC Sekuritas Indonesia
HD,KGI Sekuritas Indonesia
HP,Henan Putihrai Sekuritas
ID,Anugerah Sekuritas Indonesia
IF,Samuel Sekuritas Indonesia
IH,Pacific 2000 Sekuritas
II,Danatama Makmur Sekuritas
IN,Investindo Nusantara Sekuritas
IP,Indosurya Bersinar Sekuritas
IT,Inti Teladan Sekuritas
IU,Indo Capital Sekuritas
KI,Ciptadana Sekuritas Asia
KK,Phillip Sekuritas Indonesia
KS,Kresna Sekuritas
KW,Corpus Sekuritas Indonesia
KZ,CLSA Sekuritas Indonesia
LG,Trimegah Sekuritas Indonesia Tbk.
LH,Royal Investium Sekuritas
LS,Reliance Sekuritas Indonesia Tbk.
MG,Semesta Indovest Sekuritas
MI,Victoria Sekuritas Indonesia
MK,Ekuator Swarna Sekuritas
ML,Merrill Lynch Sekuritas Indonesia
MS,Morgan Stanley Sekuritas Indonesia
MU,Minna Padi Investama Sekuritas
NI,BNI Sekuritas
OD,Danareksa Sekuritas
OK,Net Sekuritas
PC,FAC Sekuritas Indonesia
PD,Indo Premier Sekuritas
PF,Danasakti Sekuritas Indonesia
PG,Panca Global Sekuritas
PI,Magenta Kapital Sekuritas Indonesia
PK,Pratama Capital Sekuritas
PO,Pilarmas Investindo Sekuritas
PP,Aldiracita Sekuritas Indonesia
PS,PARAMITRA ALFA SEKURITAS
QA,Pool Advista Sekuritas
RB,Nikko Sekuritas Indonesia
RF,Buana Capital Sekuritas
RG,Profindo Sekuritas Indonesia
RO,NISP Sekuritas
RS,Yulie Sekuritas Indonesia Tbk.
RX,Macquarie Sekuritas Indonesia
SA,Bosowa Sekuritas
SC,IMG Sekuritas
SF,Surya Fajar Sekuritas
SH,Artha Sekuritas Indonesia
SQ,BCA Sekuritas
SS,Supra Sekuritas Indonesia
TF,Universal Broker Indonesia Sekuritas
TP,OCBC Sekuritas Indonesia
TS,Dwidana Sakti Sekuritas
TX,Dhanawibawa Sekuritas Indonesia
XA,NH Korindo Sekuritas Indonesia
XC,Primasia Unggul Sekuritas
XL,Mahakarya Artha Sekuritas
YB,Jasa Utama Capital Sekuritas
YJ,Lotus Andalan Sekuritas
YO,Amantara Sekuritas Indonesia
YP,Mirae Asset Sekuritas Indonesia
YU,CGS-CIMB Sekuritas Indonesia
ZP,Maybank Kim Eng Sekuritas
ZR,Bumiputera Sekuritas
