ticker,data_date,sector,industry,open,high,low,close,volume,frequency,nbss,nbsf
BISNIS-27,2023-12-22 9:00:00 AM,,,593.10,595.07,592.07,594.18,675103936,113920,49108889600,0
COMPOSITE,2023-12-22 9:00:00 AM,,,7223.55,7248.55,7218.17,7234.38,9894992896,803906,-37751951360,0
DBX,2023-12-22 9:00:00 AM,,,1667.42,1677.01,1667.11,1670.68,3810398976,222813,138252075008,0
ESGQKEHATI,2023-12-21,,,141.42,141.51,140.52,141.27,0,0,0,0
ESGSKEHATI,2023-12-21,,,140.54,140.64,139.59,140.33,0,0,0,0
GREN,2020-11-20,,,328.00,328.00,328.00,328.00,0,0,0,0
I-GRADE,2023-12-22 9:00:00 AM,,,233.72,234.81,233.21,234.54,756856960,112497,5303463424,0
IDX30,2023-12-22 9:00:00 AM,,,491.58,493.10,489.99,491.68,1879011072,148808,-52442005504,0
IDX80,2023-12-22 9:00:00 AM,,,132.41,132.79,132.04,132.40,2900942592,249628,-52375736320,0
IDXBASIC,2023-12-22 9:00:00 AM,,,1322.89,1340.13,1322.37,1329.85,1004801216,109097,-73587335168,0
IDXBUMN20,2023-12-22 9:00:00 AM,,,409.29,412.16,408.53,411.80,532476576,69662,113454931968,0
IDXCYCLIC,2023-12-22 9:00:00 AM,,,803.24,810.53,803.11,806.80,1300691200,91642,-12976192512,0
IDXENERGY,2023-12-22 9:00:00 AM,,,2102.60,2108.01,2094.99,2098.76,1448126464,98686,-89010446336,0
IDXESGL,2023-12-22 9:00:00 AM,,,156.76,157.18,156.18,156.66,1921727872,108664,11610664960,0
IDXFINANCE,2023-12-22 9:00:00 AM,,,1439.20,1447.08,1438.65,1443.32,1008160256,99044,230084362240,0
IDXG30,2023-12-22 9:00:00 AM,,,156.93,157.56,156.53,157.38,735236928,92458,97115668480,0
IDXHEALTH,2023-12-22 9:00:00 AM,,,1357.28,1369.30,1352.54,1362.10,753106816,99950,56770682880,0
IDXHIDIV20,2023-12-22 9:00:00 AM,,,568.92,571.34,567.93,570.51,352063840,75667,66075582464,0
IDXINDUST,2023-12-22 9:00:00 AM,,,1077.30,1082.56,1076.41,1081.40,368477312,24311,-61278117888,0
IDXINFRA,2023-12-22 9:00:00 AM,,,1573.29,1589.76,1560.95,1567.53,724948672,65250,-30998730752,0
IDXLQ45LCL,2023-12-21,,,136.37,136.63,135.38,136.42,0,0,0,0
IDXMESBUMN,2023-12-22 9:00:00 AM,,,78.79,79.52,78.71,79.28,428386304,74127,-18498105344,0
IDXNONCYC,2023-12-22 9:00:00 AM,,,710.64,713.06,709.49,711.46,1113580160,88801,-2282891520,0
IDXPROPERT,2023-12-22 9:00:00 AM,,,698.99,699.86,693.67,697.81,605628864,54120,-13745085440,0
IDXQ30,2023-12-22 9:00:00 AM,,,159.89,160.38,159.59,160.12,575513408,96303,20973004800,0
IDXSHAGROW,2023-12-21,,,89.55,89.64,88.65,89.15,0,0,0,0
IDXSMC-COM,2023-12-22 9:00:00 AM,,,318.84,320.27,318.64,319.05,4952813568,414865,-37968515072,0
IDXSMC-LIQ,2023-12-22 9:00:00 AM,,,324.13,326.42,324.11,324.95,836486144,111251,-24788647936,0
IDXTECHNO,2023-12-22 9:00:00 AM,,,4378.63,4405.91,4326.71,4341.44,1693233536,42085,-15210152960,0
IDXTRANS,2023-12-22 9:00:00 AM,,,1622.02,1647.99,1594.86,1605.56,633873664,58953,-18416154624,0
IDXV30,2023-12-22 9:00:00 AM,,,124.12,124.50,123.59,123.83,577614336,75940,-88323866624,0
INFOBANK15,2023-12-22 9:00:00 AM,,,1248.66,1257.90,1246.35,1255.29,280513504,49538,50696278016,0
Investor33,2023-12-22 9:00:00 AM,,,492.28,494.68,491.50,494.05,559017216,116721,66418446336,0
ISSI,2023-12-22 9:00:00 AM,,,211.57,212.57,211.35,211.96,7117823488,573601,-110309769216,0
JII,2023-12-22 9:00:00 AM,,,539.65,541.53,537.71,538.86,1785042816,113162,38496227328,0
JII70,2023-12-22 9:00:00 AM,,,183.36,184.13,182.88,183.25,2623450368,197853,-54639296512,0
KOMPAS100,2023-12-22 9:00:00 AM,,,1168.00,1171.35,1164.98,1168.17,3286779648,290109,-70048153600,0
LQ45,2023-12-22 9:00:00 AM,,,967.24,969.99,964.74,967.68,2054597120,178836,-61203107840,0
MBX,2023-12-22 9:00:00 AM,,,1983.64,1990.62,1981.80,1986.31,5192195072,559519,-133890744320,0
MNC36,2023-12-22 9:00:00 AM,,,359.91,361.92,359.45,361.48,791795328,128611,66956017664,0
PEFINDO25,2023-12-22 9:00:00 AM,,,218.10,220.42,218.04,219.93,438969952,45783,54687567872,0
SMinfra18,2023-12-22 9:00:00 AM,,,312.05,313.24,311.20,312.80,326875104,53401,110200610816,0
SRI-KEHATI,2023-12-22 9:00:00 AM,,,430.03,431.95,429.19,431.51,361449856,70172,59850629120,0
