ticker,data_date,sector,industry,open,high,low,close,volume,frequency,nbss,nbsf
AALI,2023-12-22,Consumer Non-Cyclicals,Agricultural Products,7075.00,7075.00,7000.00,7025.00,492200,472,-392424992,-992684992
ABBA,2023-12-22,Consumer Cyclicals,Media,52.00,52.00,50.00,51.00,6711300,135,112278800,0
ABDA,2023-12-22,Financials,Insurance,5800.00,5800.00,5800.00,5800.00,0,0,0,0
ABMM,2023-12-22,Energy,Coal,3300.00,3330.00,3290.00,3320.00,356300,389,-308372992,-66943000
ABX,2023-12-22,,,794.71,798.32,772.85,778.34,0,0,0,0
ACES,2023-12-22,Consumer Cyclicals,Specialty Retail,730.00,735.00,715.00,720.00,32986600,3835,-1695142016,-3877946880
ACST,2023-12-22,Infrastructures,Heavy Constructions & Civil Engineering,134.00,137.00,132.00,136.00,1304300,267,-664400,66350300
ADCP,2023-12-22,Properties & Real Estate,Real Estate Management & Development,50.00,51.00,50.00,50.00,7014800,158,-320985888,0
ADES,2023-12-22,Consumer Non-Cyclicals,Beverages,9100.00,9375.00,9100.00,9375.00,66900,95,205555008,5620000
ADHI,2023-12-22,Infrastructures,Heavy Constructions & Civil Engineering,316.00,318.00,306.00,310.00,25740800,2355,-3776186880,1429307776
ADMF,2023-12-22,Financials,Consumer Financing,10700.00,10725.00,10650.00,10650.00,39300,58,-47960000,60830000
ADMG,2023-12-22,Basic Materials,Chemicals,139.00,139.00,134.00,136.00,170700,50,-14368800,2551500
ADMR,2023-12-22,Energy,Coal,1370.00,1395.00,1325.00,1345.00,14740000,3438,-8367222272,1773133056
ADRO,2023-12-22,Energy,Coal,2600.00,2610.00,2580.00,2590.00,29264900,6159,8182028800,8742947840
AEGS,2023-12-22,Consumer Cyclicals,Auto Components,88.00,92.00,88.00,90.00,3817300,253,122094400,0
AGAR,2023-12-22,Consumer Non-Cyclicals,Agricultural Products,117.00,117.00,117.00,117.00,100,1,0,0
AGII,2023-12-22,Basic Materials,Chemicals,1590.00,1590.00,1570.00,1575.00,54800,65,-5105000,0
AGRO,2023-12-22,Financials,Banks,320.00,334.00,318.00,320.00,51419800,4257,-2577078528,-554310976
AGRS,2023-12-22,Financials,Banks,83.00,83.00,81.00,81.00,918000,140,-32461600,-5480100
AHAP,2023-12-22,Financials,Insurance,95.00,96.00,92.00,92.00,2585200,255,-70789296,1048800
AIMS,2023-12-22,Energy,Coal,690.00,745.00,635.00,700.00,2942900,695,1945899008,0
AISA,2023-12-22,Consumer Non-Cyclicals,Processed Foods,126.00,131.00,126.00,127.00,3002000,465,-196790704,-41007500
AKKU,2023-12-22,Consumer Cyclicals,Tourism & Recreation,50.00,50.00,50.00,50.00,0,0,0,0
